News URL,Headlines
"https://en.wikinews.org/wiki/Georgia_grand_jury_indicts_former_US_President_Trump,_alleging_%27conspiracy_to_unlawfully_change_outcome%27_of_2020_presidential_election","Georgia grand jury indicts former US President Trump, alleging conspiracy to unlawfully change outcome of 2020 presidential election"
https://en.wikinews.org/wiki/Former_US_President_Donald_Trump_pleads_not_guilty_over_alleged_attempts_to_%27subvert%27_2020_presidential_election_results,Former US President Donald Trump pleads not guilty over alleged attempts to subvert 2020 presidential election results
https://en.wikinews.org/wiki/Former_South_Carolina_governor_Nikki_Haley_declares_bid_for_2024_US_presidential_election,Former South Carolina governor Nikki Haley declares bid for 2024 US presidential election
https://en.wikinews.org/wiki/Bernie_Sanders_endorses_Joe_Biden_in_2020_United_States_presidential_election,Bernie Sanders endorses Joe Biden in 2020 United States presidential election
"https://en.wikinews.org/wiki/2020_United_States_presidential_election:_Trump,_Sanders_win_New_Hampshire_primaries","2020 United States presidential election: Trump, Sanders win New Hampshire primaries"
https://en.wikinews.org/wiki/United_States:_New_York_City_mayoral_swear-in_to_pair_potential_2020_presidential_prospects,United States: New York City mayoral swear-in to pair potential 2020 presidential prospects
"https://en.wikinews.org/wiki/On_the_campaign_trail_in_the_USA,_October_2016","On the campaign trail in the USA, October 2016"
"https://en.wikinews.org/wiki/On_the_campaign_trail,_June_2012","On the campaign trail, June 2012"
https://en.wikinews.org/wiki/Ron_Paul_announces_he_will_not_seek_U.S._House_re-election_in_2012;_will_focus_on_presidential_campaign,Ron Paul announces he will not seek U.S. House re-election in 2012; will focus on presidential campaign
"https://en.wikinews.org/wiki/On_the_campaign_trail_in_the_USA,_August_2016","On the campaign trail in the USA, August 2016"
"https://en.wikinews.org/wiki/On_the_campaign_trail,_July_2012","On the campaign trail, July 2012"
"https://en.wikinews.org/wiki/On_the_campaign_trail_in_the_USA,_July_2016","On the campaign trail in the USA, July 2016"
"https://en.wikinews.org/wiki/On_the_campaign_trail_in_the_USA,_June_2020","On the campaign trail in the USA, June 2020"
"https://en.wikinews.org/wiki/On_the_campaign_trail_in_the_USA,_June_2016","On the campaign trail in the USA, June 2016"
https://en.wikinews.org/wiki/Bernie_Sanders_wins_2020_Northern_Mariana_Islands_US_Democratic_presidential_caucus,Bernie Sanders wins 2020 Northern Mariana Islands US Democratic presidential caucus
"https://en.wikinews.org/wiki/On_the_campaign_trail_in_the_USA,_September_2016","On the campaign trail in the USA, September 2016"
https://en.wikinews.org/wiki/Elizabeth_Warren_endorses_Joe_Biden_in_2020_US_presidential_election,Elizabeth Warren endorses Joe Biden in 2020 US presidential election
"https://en.wikinews.org/wiki/On_the_campaign_trail_in_the_USA,_May_2016","On the campaign trail in the USA, May 2016"
https://en.wikinews.org/wiki/%27Let%27s_finish_this_job%27:_US_President_Joe_Biden_announces_2024_reelection_bid,Lets finish this job: US President Joe Biden announces 2024 reelection bid
"https://en.wikinews.org/wiki/Fear_and_loathing_on_the_campaign_trail,_August_2008","Fear and loathing on the campaign trail, August 2008"
https://en.wikinews.org/wiki/Bernie_Sanders_ends_2020_US_presidential_bid,Bernie Sanders ends 2020 US presidential bid
"https://en.wikinews.org/wiki/Arizona,_Florida,_Illinois_hold_2020_US_presidential_primaries;_Ohio_postpones","Arizona, Florida, Illinois hold 2020 US presidential primaries; Ohio postpones"
https://en.wikinews.org/wiki/Joe_Biden_wins_2020_South_Carolina_US_Democratic_presidential_primary,Joe Biden wins 2020 South Carolina US Democratic presidential primary
"https://en.wikinews.org/wiki/Joe_Biden_wins_2020_US_Democratic_presidential_primaries_in_Michigan,_Missouri,_and_Mississippi","Joe Biden wins 2020 US Democratic presidential primaries in Michigan, Missouri, and Mississippi"
https://en.wikinews.org/wiki/Biden_announces_Kamala_Harris_as_2020_running_mate_in_US_presidential_race,Biden announces Kamala Harris as 2020 running mate in US presidential race
"https://en.wikinews.org/wiki/Wikinews_holds_a_follow-up_interview_with_Max_Riekse,_Constitution_Party_candidate_for_the_2008_U.S._presidential_election","Wikinews holds a follow-up interview with Max Riekse, Constitution Party candidate for the 2008 U.S. presidential election"
https://en.wikinews.org/wiki/Jim_Webb_campaign_addresses_first_2016_presidential_election_controversy,Jim Webb campaign addresses first 2016 presidential election controversy
"https://en.wikinews.org/wiki/On_the_campaign_trail,_September_2012","On the campaign trail, September 2012"
https://en.wikinews.org/wiki/Fred_Karger_officially_ends_2012_presidential_campaign,Fred Karger officially ends 2012 presidential campaign
https://en.wikinews.org/wiki/Bernie_Sanders_wins_2020_Nevada_caucuses,Bernie Sanders wins 2020 Nevada caucuses
https://en.wikinews.org/wiki/Donald_Trump_wins_2020_US_Republican_delegates_from_Nevada,Donald Trump wins 2020 US Republican delegates from Nevada
https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,Ma Ying-jeou wins 2008 Taiwan presidential election
"https://en.wikinews.org/wiki/Obama,_Romney_spar_in_first_2012_U.S._presidential_debate","Obama, Romney spar in first 2012 U.S. presidential debate"
https://en.wikinews.org/wiki/Gary_Johnson_wins_2012_Libertarian_Party_presidential_nomination,Gary Johnson wins 2012 Libertarian Party presidential nomination
https://en.wikinews.org/wiki/Wikinews_interviews_2020_US_Libertarian_Party_presidential_candidate_Adam_Kokesh,Wikinews interviews 2020 US Libertarian Party presidential candidate Adam Kokesh
https://en.wikinews.org/wiki/US_state_of_Wisconsin_holds_2020_election_amidst_COVID-19_concerns,US state of Wisconsin holds 2020 election amidst COVID-19 concerns
https://en.wikinews.org/wiki/Barack_Obama_announces_2012_re-election_bid,Barack Obama announces 2012 re-election bid
